icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
3801,deutsche-bank-ag,Deutsche Bank AG,unicredit-bank-austria-ag-austria-aut,UniCredit Bank Austria AG,Austria,AUT
3785,deutsche-bank-ag,Deutsche Bank AG,stanbic-bank-tanzania-ltd-tanzania-tza,Stanbic Bank Tanzania Ltd.,Tanzania,TZA
3785,deutsche-bank-ag,Deutsche Bank AG,kcb-tanzania-tanzania-tza,Kcb,Tanzania,TZA
3926,deutsche-bank-ag,Deutsche Bank AG,ecobank-gambia-gmb,Ecobank,Gambia,GMB
3926,deutsche-bank-ag,Deutsche Bank AG,ecobank-senegal-sen,Ecobank,Senegal,SEN
3926,deutsche-bank-ag,Deutsche Bank AG,ecobank-cameroon-cmr,Ecobank,Cameroon,CMR
3926,deutsche-bank-ag,Deutsche Bank AG,ecobank-nigeria-nga,Ecobank,Nigeria,NGA
4222,deutsche-bank-ag,Deutsche Bank AG,state-bank-of-mauritius-mauritius-mus,State Bank of Mauritius,Mauritius,MUS
4222,deutsche-bank-ag,Deutsche Bank AG,united-arab-bank-united-arab-emirates-are,United Arab Bank,United Arab Emirates,ARE
4222,deutsche-bank-ag,Deutsche Bank AG,kcb-tanzania-ltd-tanzania-tza,Kcb,Tanzania,TZA
4222,deutsche-bank-ag,Deutsche Bank AG,mauritius-commercial-bank-ltd-mauritius-mus,Mauritius Commercial Bank Ltd,Mauritius,MUS
4222,deutsche-bank-ag,Deutsche Bank AG,kenya-commercial-bank-ltd-kenya-ken,Kenya Commercial Bank Ltd,Kenya,KEN
4134,deutsche-bank-ag,Deutsche Bank AG,fbn-bank-uk-ltd-uk-gbr,Fbn Bank UK Ltd,United Kingdom,GBR
4134,deutsche-bank-ag,Deutsche Bank AG,skye-bank-nigeria-nga,Skye Bank,Nigeria,NGA
4280,deutsche-bank-ag,Deutsche Bank AG,union-bank-uk-plc-uk-gbr,Union Bank UK Plc,United Kingdom,GBR
4280,deutsche-bank-ag,Deutsche Bank AG,ecobank-cameroun-cameroon-cmr,Ecobank Cameroun,Cameroon,CMR
4280,deutsche-bank-ag,Deutsche Bank AG,ecobank-senegal-senegal-sen,Ecobank Senegal,Senegal,SEN
4280,deutsche-bank-ag,Deutsche Bank AG,ecobank-nigeria-plc-nigeria-nga,Ecobank Nigeria Plc,Nigeria,NGA
3720,deutsche-bank-ag,Deutsche Bank AG,first-bank-of-nigeria-plc-fem-ac-nigeria-nga,First Bank of Nigeria Plc Fem A/C,Nigeria,NGA
3720,deutsche-bank-ag,Deutsche Bank AG,union-bank-of-nigeria-plc-main-ac-nigeria-nga,Union Bank of Nigeria Plc Main A/C,Nigeria,NGA
3720,deutsche-bank-ag,Deutsche Bank AG,first-bk-of-nigeria-plc-non-expdom-nigeria-nga,First Bk of Nigeria Plc Non Exp.Dom,Nigeria,NGA
3720,deutsche-bank-ag,Deutsche Bank AG,union-bank-uk-plc-london-united-kingdom-gbr,Union Bank UK Plc,United Kingdom,GBR
3720,deutsche-bank-ag,Deutsche Bank AG,standard-bank-of-south-africa-south-africa-zaf,Standard Bank of South Africa,South Africa,ZAF
3824,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V. ,Netherlands,NLD
3824,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,the-standard-bank-of-south-africa-limited-johannesburg-south-africa-zaf,The Standard Bank of South Africa Limited,South Africa,ZAF
3824,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,ing-bank-nv-amsterdam-netherlands-nld,ING Bank N.V.,Netherlands,NLD
3824,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dz-bank-ag-frankfurt-germany-deu,Dz Bank AG,Germany,DEU
3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-centercredit-almaty-kz-kaz,Bank Centercredit,Kazakhstan,KAZ
3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Singapore,SGP
3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dnb-bank-asa-oslo-norway-nor,DNB Bank Asa,Norway,NOR
3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,shanghai-pudong-development-bank-shanghai-china-chn,Shanghai Pudong Development Bank,China,CHN
3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bta-bank-almaty-kazakhstan-kaz,BTA Bank,Kazakhstan,KAZ
2666,deutsche-bank-ag,Deutsche Bank AG,unicredit-bank-ag-germany-deu,UniCredit Bank AG,Germany,DEU
2666,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-ag-germany-deu,Deutsche Bank AG,Germany,DEU
2666,deutsche-bank-ag,Deutsche Bank AG,commerzbank-ag-germany-deu,Commerzbank AG,Germany,DEU
4360,deutsche-bank-ag,Deutsche Bank AG,kor-standard-bank-georgia-geo,Kor-Standard Bank,Georgia,GEO
4360,deutsche-bank-ag,Deutsche Bank AG,israel-postal-bank-israel-isr,Israel Postal Bank,Israel,ISR
4360,deutsche-bank-ag,Deutsche Bank AG,banque-de-tunisie-tunisia-tun,Banque De Tunisie,Tunisia,TUN
4360,deutsche-bank-ag,Deutsche Bank AG,banco-santander-suisse-sa-switzerland-che,Banco Santander,Switzerland,CHE
4360,deutsche-bank-ag,Deutsche Bank AG,converse-bank-armenia-arm,Converse Bank,Armenia,ARM
4360,deutsche-bank-ag,Deutsche Bank AG,tbc-bank-georgia-geo,Tbc-Bank,Georgia,GEO
